特征,重要性
log_duration,0.26141016002341627
title_len,0.2256887647563153
pub_hour,0.16034469825371164
标签数,0.10303424413994006
pub_weekday,0.1004005789132315
分区_校园学习,0.01785649056306674
分区_计算机技术,0.014108586610533713
分区_其他,0.01396723457599039
分区_日常,0.013677697901010607
is_collection,0.01343959444733291
分区_职业职场,0.0125881843027399
分区_数码,0.008428389075237469
分区_野生技能协会,0.008101892861511443
分区_出行,0.0061629710006577765
分区_单机游戏,0.006136232853079299
分区_财经商业,0.0056145318134484664
分区_美食侦探,0.005418060043946291
分区_人文历史,0.005244976181631528
分区_社科·法律·心理,0.005060012975581554
分区_健身,0.004483675202055352
分区_美妆护肤,0.00443027295928243
分区_穿搭,0.004402750546279359
