特征,平均|SHAP|
log_duration,0.0825030657018432
title_len,0.08007685064048921
pub_hour,0.04771338621312317
标签数,0.03893871700749054
pub_weekday,0.03800770116617231
分区_计算机技术,0.013250074671133859
分区_其他,0.011731686804521675
分区_校园学习,0.010623861176538813
is_collection,0.007116454304007557
分区_日常,0.006149832385371612
分区_职业职场,0.004870418658958589
分区_野生技能协会,0.0033611977010811387
分区_数码,0.0033578134329488277
分区_出行,0.00218404746080991
分区_财经商业,0.0021650842177169923
分区_单机游戏,0.0020761936866532525
分区_美食侦探,0.001736299857268862
分区_人文历史,0.0016218153479925159
分区_社科·法律·心理,0.001610365519327335
分区_健身,0.0013873432858757342
分区_美妆护肤,0.001371953555417146
分区_穿搭,0.0010634517058264936
