tname,催更,其他,吐槽,情绪共鸣,打卡许愿,提问,求推荐,求教程,消费决策,样本数
健身,0.0,21.33,5.78,12.44,57.78,2.67,0.0,0.0,0.0,225
出行,0.39,40.39,9.61,33.33,7.06,7.45,0.2,0.0,1.57,510
单机游戏,0.1,54.52,9.23,24.3,1.85,9.72,0.1,0.0,0.19,1029
数码,0.0,45.79,19.47,18.42,5.26,6.32,0.53,0.0,4.21,190
日常,0.48,45.22,13.16,28.71,3.35,7.18,0.0,0.24,1.67,418
校园学习,0.09,45.42,7.5,22.32,14.3,9.07,0.87,0.17,0.26,1147
社科·法律·心理,0.0,46.59,13.07,30.68,1.7,4.55,2.27,1.14,0.0,176
美食侦探,0.33,48.41,15.69,21.37,1.0,7.85,0.0,0.0,5.34,599
职业职场,0.0,42.42,8.48,23.64,20.0,4.24,0.61,0.61,0.0,165
计算机技术,0.0,41.5,5.57,28.69,11.98,11.42,0.56,0.28,0.0,359
