发布小时,催更,其他,吐槽,情绪共鸣,打卡许愿,提问,求推荐,求教程,消费决策,样本数
0,0.0,40.21,8.25,30.93,15.46,5.15,0.0,0.0,0.0,97
1,0.0,48.51,7.92,22.77,7.92,9.9,0.99,0.0,1.98,101
2,0.0,39.82,9.58,28.44,12.57,7.49,0.3,0.3,1.5,334
3,0.47,48.36,12.85,21.26,5.14,9.11,0.23,0.0,2.57,428
4,0.2,44.29,10.04,26.97,8.27,8.46,0.39,0.0,1.38,508
5,0.0,60.13,5.23,17.65,9.8,5.88,0.65,0.0,0.65,153
6,0.0,48.63,9.29,22.95,7.65,9.29,0.55,0.0,1.64,183
7,0.0,40.94,12.75,23.49,12.75,8.05,0.67,0.0,1.34,149
8,0.0,41.12,7.69,22.78,15.68,7.99,1.18,0.59,2.96,338
9,0.0,45.4,12.31,25.16,6.42,8.67,0.11,0.0,1.93,934
10,0.43,41.55,9.14,29.12,9.46,7.97,0.96,0.11,1.28,941
11,0.56,53.01,9.59,23.5,5.08,5.45,0.56,0.19,2.07,532
12,0.29,46.49,10.53,26.61,6.73,8.19,0.29,0.0,0.88,342
13,0.0,43.01,13.64,26.22,6.64,9.79,0.0,0.0,0.7,286
14,0.47,51.63,7.44,19.53,9.3,10.7,0.0,0.93,0.0,215
15,0.0,39.85,15.79,28.57,6.77,9.02,0.0,0.0,0.0,133
16,0.0,43.04,6.33,31.65,5.06,10.13,3.8,0.0,0.0,79
17,0.0,43.75,6.25,23.44,10.94,12.5,1.56,1.56,0.0,64
18,0.0,63.33,6.67,13.33,6.67,6.67,0.0,0.0,3.33,30
19,0.0,41.67,0.0,33.33,0.0,25.0,0.0,0.0,0.0,12
20,0.0,52.0,16.0,14.0,0.0,18.0,0.0,0.0,0.0,50
21,0.0,52.17,4.35,30.43,0.0,13.04,0.0,0.0,0.0,23
22,0.0,38.71,19.35,29.03,6.45,6.45,0.0,0.0,0.0,31
23,0.0,29.73,16.22,35.14,10.81,5.41,2.7,0.0,0.0,37
