bvid,分区,粉丝数,pubdate,发布小时,发布星期,duration_s,播放量,like_cnt,coin_cnt,fav_cnt,share_cnt,danmaku_cnt,reply_cnt,点赞率,投币率,收藏率,弹幕密度_千播,内容沉淀比,互动率,是否多P合集
BV147411K7xu,校园学习,26059683,2020-02-26 18:40:44,18,2,380265,243887204,4380752,3281975,4260734,1710443,3654534,515383,0.0180,0.0135,0.0175,14.9845,0.9726,0.048889,1
BV1Eb411u7Fw,校园学习,10601437,2019-04-07 21:38:14,21,6,363243,202614248,3311870,2724761,3069434,1141020,3563729,79584,0.0163,0.0134,0.0151,17.5887,0.9268,0.044943,1
BV1CAxaeHEeH,校园学习,10601437,2024-10-01 11:33:37,11,1,389358,117007369,1095465,776207,1207416,235770,678834,41104,0.0094,0.0066,0.0103,5.8016,1.1022,0.026315,1
BV1Qi4y1R7tW,校园学习,10248253,2021-12-31 21:00:58,21,4,502890,115637418,2039436,1535874,2089860,561225,1635562,146109,0.0176,0.0133,0.0181,14.1439,1.0247,0.048991,1
BV1gT4y1m7ec,健身,197411,2022-01-02 22:31:05,22,6,729,87035534,723900,362202,2141269,1373108,89223,33731,0.0083,0.0042,0.0246,1.0251,2.9580,0.037081,0
BV1R3411A7g4,健身,14999536,2022-05-19 10:00:00,10,3,687,63779485,613750,199866,3052456,601982,90760,23258,0.0096,0.0031,0.0479,1.4230,4.9735,0.060616,0
BV1et411b73Z,计算机技术,4943157,2019-01-24 15:06:36,15,3,188972,47190581,626682,585012,1159444,259353,728078,44404,0.0133,0.0124,0.0246,15.4285,1.8501,0.050246,1
BV1XY411J7aG,校园学习,13491492,2022-04-01 20:05:00,20,4,31909,45692612,2147662,1875048,2785289,558279,1003765,45403,0.0470,0.0410,0.0610,21.9678,1.2969,0.148996,1
BV1UW411k7Jv,校园学习,10601437,2018-09-18 01:33:39,1,1,170078,44541671,826873,562860,972145,276283,823015,19378,0.0186,0.0126,0.0218,18.4774,1.1757,0.053026,1
BV1h7pteyEww,校园学习,10601437,2024-09-07 16:32:50,16,5,208406,43660632,339138,265278,403112,53432,234091,9709,0.0078,0.0061,0.0092,5.3616,1.1886,0.023076,1
BV1Up4y1Y76a,校园学习,1238042,2020-09-06 01:01:22,1,6,170594,42201082,517563,417237,772443,338354,913490,56682,0.0123,0.0099,0.0183,21.6461,1.4925,0.040455,1
BV1c64y1y7RB,校园学习,1163616,2021-05-12 07:12:20,7,2,73508,42046565,466635,210723,718468,235051,569496,30438,0.0111,0.0050,0.0171,13.5444,1.5397,0.033197,1
BV1xa411J7jJ,校园学习,2083433,2022-05-12 18:46:51,18,3,146925,38984516,507376,364339,1153427,308152,2265260,88452,0.0130,0.0093,0.0296,58.1067,2.2733,0.051947,1
BV1wD4y1o7AS,计算机技术,1156671,2020-09-07 19:54:19,19,0,88867,35495219,1094783,959569,2566582,321700,250188,23760,0.0308,0.0270,0.0723,7.0485,2.3444,0.130185,1
BV1Bp4y1D747,校园学习,1356871,2020-06-20 20:00:29,20,5,235577,33951512,938122,1000918,1610359,223928,2588183,88379,0.0276,0.0295,0.0474,76.2317,1.7166,0.104543,1
BV1Np4y1i7rG,健身,14999536,2020-08-20 19:20:47,19,3,637,32649472,463387,183874,1646679,397138,81855,23515,0.0142,0.0056,0.0504,2.5071,3.5536,0.070260,0
BV1iV411z7Nj,校园学习,13491492,2020-07-29 18:05:21,18,2,13695,30928104,1793603,1691429,2312954,493011,455617,37905,0.0580,0.0547,0.0748,14.7315,1.2896,0.187467,0
BV1b7411N798,校园学习,755497,2020-02-27 22:02:46,22,3,110382,30651532,278071,277548,488934,86631,429791,14818,0.0091,0.0091,0.0160,14.0218,1.7583,0.034078,1
BV1YV411a7o7,校园学习,2920595,2020-11-13 09:04:06,9,4,62809,30333816,302386,144319,636064,188359,163470,19492,0.0100,0.0048,0.0210,5.3890,2.1035,0.035695,1
BV17F411T7Ao,计算机技术,4943157,2022-04-27 09:00:00,9,2,270705,27370796,412957,457704,630165,166031,784241,35924,0.0151,0.0167,0.0230,28.6525,1.5260,0.054833,1
BV1th411z7sn,校园学习,846913,2021-07-29 13:38:43,13,3,120600,26909249,310062,330248,600029,213736,213186,42573,0.0115,0.0123,0.0223,7.9224,1.9352,0.046093,1
BV1Ey4y147xn,校园学习,1887783,2021-04-08 22:23:02,22,3,17584,26835280,721752,612622,752424,258333,201903,16453,0.0269,0.0228,0.0280,7.5238,1.0425,0.077763,1
BV1gA411j7Ta,校园学习,2045565,2020-10-20 15:43:54,15,1,113418,26011324,391530,304213,880014,126015,266206,20284,0.0151,0.0117,0.0338,10.2342,2.2476,0.060580,1
BV1XgnGzdEfX,单机游戏,449672,2025-09-26 22:44:30,22,4,3088,25963879,319318,140418,915237,14768,16039,2743,0.0123,0.0054,0.0353,0.6177,2.8662,0.052957,0
BV1qW4y1a7fU,计算机技术,4943157,2022-08-08 09:00:00,9,0,114020,25524379,373889,305594,851589,234471,458814,47491,0.0146,0.0120,0.0334,17.9755,2.2777,0.059985,1
BV1p5yXBfEKi,单机游戏,2424116,2025-11-02 03:48:25,3,6,2244,25520425,228687,40234,332148,9128,10294,2268,0.0090,0.0016,0.0130,0.4034,1.4524,0.023552,0
BV1JWwRzVEzQ,单机游戏,1921569,2026-03-31 17:00:00,17,1,119,25372781,289431,22691,379936,4367,3861,1076,0.0114,0.0009,0.0150,0.1522,1.3127,0.027276,0
BV1JmRpYrEe7,日常,47082,2025-03-08 16:57:10,16,5,200,24160303,179496,22499,132169,84502,83,193,0.0074,0.0009,0.0055,0.0034,0.7363,0.013831,0
BV1YE411D7nH,校园学习,755497,2019-10-05 14:10:09,14,5,90133,24027611,225203,221902,416043,61203,237655,9995,0.0094,0.0092,0.0173,9.8909,1.8474,0.035923,1
BV168411Z7pf,校园学习,1887783,2023-06-08 20:43:34,20,3,16737,23324290,510471,422878,600697,155934,143571,15726,0.0219,0.0181,0.0258,6.1554,1.1768,0.065770,1
BV1kU4y1p7Jb,美食侦探,8440674,2021-03-09 18:30:14,18,1,1137,23294194,350590,147253,14082,37276,44495,7461,0.0151,0.0063,0.0006,1.9101,0.0402,0.021977,0
BV1HE41167kR,MAD·AMV,65013,2019-10-20 11:43:14,11,6,25482,23280415,749821,422322,413723,60737,52325,5236,0.0322,0.0181,0.0178,2.2476,0.5518,0.068120,1
BV1JXppejE8q,校园学习,10601437,2024-09-10 11:23:23,11,1,133164,22574234,171524,137448,259289,25905,92314,4162,0.0076,0.0061,0.0115,4.0894,1.5117,0.025173,1
BV1Mb411e7re,校园学习,846913,2019-03-11 01:27:11,1,0,102259,21947373,339903,330959,622360,214431,275554,32911,0.0155,0.0151,0.0284,12.5552,1.8310,0.058924,1
BV164411o7Qo,校园学习,277030,2019-08-19 10:14:34,10,0,255315,21810420,165755,158320,235682,43378,395041,10092,0.0076,0.0073,0.0108,18.1125,1.4219,0.025665,1
BV1Ct4y1J7zV,健身,5224528,2022-08-21 18:30:00,18,6,1771,21606437,312640,99234,1126872,243993,74171,20285,0.0145,0.0046,0.0522,3.4328,3.6044,0.071217,0
BV1QK4y1j7xw,健身,836738,2020-11-30 17:04:48,17,0,511,21177348,536948,404159,910669,260124,188224,50077,0.0254,0.0191,0.0430,8.8880,1.6960,0.087441,0
BV1ex411x7Em,计算机技术,4943157,2017-09-05 11:25:16,11,1,198186,20831945,284367,220582,1051065,113713,259020,12382,0.0137,0.0106,0.0505,12.4338,3.6962,0.074694,1
BV14J4114768,计算机技术,569014,2019-12-21 23:48:07,23,5,207870,20047686,224144,208782,425219,159018,555116,22272,0.0112,0.0104,0.0212,27.6898,1.8971,0.042805,1
BV1rpWjevEip,计算机技术,765620,2024-08-22 22:59:18,22,3,143894,19992502,544365,391863,839375,99711,129966,349179,0.0272,0.0196,0.0420,6.5007,1.5419,0.088813,1
BV1dr4y1n7vA,计算机技术,677199,2022-04-15 21:36:24,21,4,51013,19803984,345638,133073,630022,163679,180435,34116,0.0175,0.0067,0.0318,9.1110,1.8228,0.055985,1
BV1x94y1R7uP,美食侦探,4731478,2022-07-04 11:29:16,11,0,254,19649389,1335848,252682,97336,58764,25407,27888,0.0680,0.0129,0.0050,1.2930,0.0729,0.085797,0
BV1864y1T7Ks,校园学习,720660,2020-04-16 01:28:06,1,3,365750,19611252,366239,342547,493318,159097,191686,11198,0.0187,0.0175,0.0252,9.7743,1.3470,0.061297,1
BV1U7411a7xG,日常,1693534,2020-01-23 21:28:30,21,3,329427,19531334,457053,394216,1154462,194310,299504,19839,0.0234,0.0202,0.0591,15.3345,2.5259,0.102693,1
BV1At4y1x7n9,美食制作,9255822,2022-05-16 17:30:00,17,0,248,19457755,1259614,134086,109133,9781,96875,6143,0.0647,0.0069,0.0056,4.9787,0.0866,0.077236,0
BV1mN411r7VM,校园学习,1887783,2023-06-22 16:16:43,16,3,26187,19357159,455906,317216,561669,158996,133404,29675,0.0236,0.0164,0.0290,6.8917,1.2320,0.068956,1
BV1SA411e7dE,日常,108686,2020-07-15 04:41:10,4,2,2543,19148121,257385,44877,409075,26292,25942,8007,0.0134,0.0023,0.0214,1.3548,1.5894,0.037149,0
BV19E411D78Q,校园学习,755497,2019-10-05 23:41:40,23,5,126200,18785298,173602,163414,372517,53493,169902,4811,0.0092,0.0087,0.0198,9.0444,2.1458,0.037771,1
BV1oV411p7Rb,健身,4291589,2021-07-04 12:35:42,12,6,706,18534982,743286,644075,1298184,194205,161951,34974,0.0401,0.0347,0.0700,8.7376,1.7465,0.144891,0
BV1fh411y7R8,计算机技术,494691,2021-01-26 18:56:07,18,1,718351,18392318,214113,252911,329838,102602,940212,27335,0.0116,0.0138,0.0179,51.1198,1.5405,0.043326,1
BV1pvYPzDEp8,影视剪辑,8978393,2025-09-09 18:26:39,18,1,24072,18333358,202313,108753,158589,66601,246100,10465,0.0110,0.0059,0.0087,13.4236,0.7839,0.025618,1
BV1ps4y1d73V,校园学习,755497,2023-04-18 17:49:14,17,1,122863,18182189,144849,140619,261028,41846,257295,10263,0.0080,0.0077,0.0144,14.1509,1.8021,0.030057,1
BV11Z421i7kb,单机游戏,12576080,2024-04-11 13:05:46,13,3,1673,17544040,97017,25531,210062,2078,30931,2945,0.0055,0.0015,0.0120,1.7630,2.1652,0.018959,0
BV1f4411j7En,舌尖上的旅行,88928,2019-05-21 20:00:00,20,1,71,17209561,496400,4214,24138,4786,3772,2936,0.0288,0.0002,0.0014,0.2192,0.0486,0.030492,0
BV1D6h1zrEz9,单机游戏,2986208,2025-08-28 15:27:42,15,3,160,17080398,40004,6544,117844,589,2356,550,0.0023,0.0004,0.0069,0.1379,2.9458,0.009625,0
BV1SW41137kQ,校园学习,2920595,2018-05-08 09:56:21,9,1,44369,16862413,153544,82760,308465,83233,52616,9918,0.0091,0.0049,0.0183,3.1203,2.0090,0.032307,1
BV1jDcBzdErM,喵星人,447985,2026-03-12 17:30:00,17,3,140,16824889,350190,86227,357892,47766,2374,4243,0.0208,0.0051,0.0213,0.1411,1.0220,0.047210,0
BV1nJ411V7bd,校园学习,113439,2020-01-10 17:01:15,17,4,145869,16475256,224988,99587,437749,90216,307130,12969,0.0137,0.0060,0.0266,18.6419,1.9457,0.046271,1
BV1je4y1y7S3,校园学习,4477504,2022-09-14 12:00:47,12,2,182616,16428142,271353,183792,277744,51183,1062622,42869,0.0165,0.0112,0.0169,64.6830,1.0236,0.044612,1
BV14u41147YH,野生技能协会,1062211,2023-05-22 19:29:24,19,0,34090,16143029,571715,594929,953937,127279,144715,61860,0.0354,0.0369,0.0591,8.9646,1.6686,0.131362,1
BV1uvEK6EEJZ,单机游戏,2631554,2026-06-08 10:50:36,10,0,1075,16066308,294317,22368,181320,5658,10989,2092,0.0183,0.0014,0.0113,0.6840,0.6161,0.030997,0
BV1QeNc6iE84,校园学习,26059683,2026-07-11 19:59:14,19,5,110034,15960146,294424,98840,358632,70938,417768,82866,0.0184,0.0062,0.0225,26.1757,1.2181,0.047111,1
BV1sA411Q7R3,健身,10735081,2022-12-30 18:30:00,18,4,1886,15862862,285198,122078,989938,206124,47905,15061,0.0180,0.0077,0.0624,3.0199,3.4711,0.088081,0
BV1164y1m7Kw,校园学习,423295,2021-04-19 19:32:32,19,0,182379,15535679,364500,87138,879972,91485,105786,10340,0.0235,0.0056,0.0566,6.8092,2.4142,0.085713,1
BV1cJ4m177gK,单机游戏,12576080,2024-03-24 19:03:54,19,6,2014,15446740,164146,45534,69475,6998,147205,5874,0.0106,0.0029,0.0045,9.5298,0.4233,0.018072,0
