分区,粉丝数,播放量,分区内排名
校园学习,26059683,243887204,1
校园学习,10601437,202614248,2
校园学习,10601437,117007369,3
校园学习,10248253,115637418,4
健身,197411,87035534,1
健身,14999536,63779485,2
计算机技术,4943157,47190581,1
校园学习,13491492,45692612,5
校园学习,10601437,44541671,6
校园学习,10601437,43660632,7
校园学习,1238042,42201082,8
校园学习,1163616,42046565,9
校园学习,2083433,38984516,10
计算机技术,1156671,35495219,2
健身,14999536,32649472,3
计算机技术,4943157,27370796,3
单机游戏,449672,25963879,1
计算机技术,4943157,25524379,4
单机游戏,2424116,25520425,2
单机游戏,1921569,25372781,3
日常,47082,24160303,1
美食侦探,8440674,23294194,1
MAD·AMV,65013,23280415,1
健身,5224528,21606437,4
健身,836738,21177348,5
计算机技术,4943157,20831945,5
计算机技术,569014,20047686,6
计算机技术,765620,19992502,7
计算机技术,677199,19803984,8
美食侦探,4731478,19649389,2
日常,1693534,19531334,2
美食制作,9255822,19457755,1
日常,108686,19148121,3
健身,4291589,18534982,6
计算机技术,494691,18392318,9
影视剪辑,8978393,18333358,1
单机游戏,12576080,17544040,4
舌尖上的旅行,88928,17209561,1
单机游戏,2986208,17080398,5
喵星人,447985,16824889,1
野生技能协会,1062211,16143029,1
单机游戏,2631554,16066308,6
健身,10735081,15862862,7
单机游戏,12576080,15446740,7
美食侦探,5650613,14912681,3
健身,737224,14912149,8
健身,3647304,14730937,9
单机游戏,5590827,14526147,8
科学科普,6624532,14154871,1
计算机技术,1398323,13629205,10
健身,86023,13193734,10
动画综合,39976,12857601,1
单机游戏,2008971,12797307,9
搞笑,4342179,12760877,1
出行,12145204,12578848,1
野生技能协会,1098887,12344740,2
职业职场,5643670,12208340,1
软件应用,4067545,12147442,1
汪星人,1417542,11928272,1
人文历史,7713382,11884885,1
