分区,视频数,平均互动率,平均播放量,头部10pct互动率,尾部25pct互动率
计算机技术,2190,0.1044,286281,0.2743,0.0332
社科·法律·心理,449,0.0966,326805,0.2492,0.0287
野生技能协会,1178,0.0964,144170,0.2405,0.0384
美妆护肤,433,0.0906,214752,0.2260,0.0259
职业职场,2073,0.0854,110082,0.2050,0.0274
出行,528,0.0794,460273,0.1958,0.0279
健身,371,0.0785,1692230,0.2381,0.0196
穿搭,357,0.0776,152005,0.2177,0.0218
人文历史,379,0.0774,322277,0.1991,0.0242
校园学习,3234,0.0749,802782,0.2003,0.0207
日常,2625,0.0704,218127,0.2093,0.0150
软件应用,221,0.0704,131758,0.2152,0.0183
科学科普,246,0.0683,230323,0.1873,0.0157
财经商业,600,0.0667,195656,0.1766,0.0199
搞笑,212,0.0578,627748,0.1962,0.0099
数码,771,0.0533,253371,0.1946,0.0098
美食记录,167,0.0511,881484,0.1184,0.0176
单机游戏,636,0.0507,1165719,0.1522,0.0114
汪星人,156,0.0505,522930,0.1766,0.0062
美食侦探,557,0.0481,1166557,0.1085,0.0203
亲子,100,0.0402,228783,0.1111,0.0086
