标签,视频数,去重视频数,平均互动率,平均播放量
Python零基础入门,30,30,0.2322,74028
AI漫剧,37,37,0.1788,94398
Python零基础,48,48,0.1556,88207
Transformer,36,36,0.1524,215438
AI教程,50,50,0.1484,346066
Python零基础教程,36,36,0.1469,44879
AI视频,45,45,0.1466,280117
爬虫,60,60,0.1450,155512
Python爬虫,228,228,0.1415,454988
自我提升,76,76,0.1391,208594
高效学习,64,64,0.1391,173884
AI Agent,45,45,0.1389,166288
web安全,36,36,0.1389,98915
网络安全,84,84,0.1388,80712
SQL注入,42,42,0.1355,146316
黑客,48,48,0.1338,35726
渗透测试,51,51,0.1335,131924
C语言教程,39,39,0.1321,911913
随机森林,47,47,0.1321,36138
学习方法,313,313,0.1317,260259
审美,33,33,0.1316,315595
化妆技巧,36,36,0.1310,339447
信息安全,50,50,0.1307,89218
强化学习,35,35,0.1288,40807
python数据分析,93,93,0.1285,82562
Python基础,385,385,0.1279,220308
python教程,603,603,0.1259,250182
langchain,76,76,0.1244,177432
中考,71,71,0.1244,410030
思维,94,94,0.1239,273164
