分区,月份,视频数,平均互动率,上月互动率,环比变化,环比变化率_百分比
亲子,2026-09,53,0.0363,,,
人文历史,2026-08,36,0.0774,,,
人文历史,2026-09,152,0.0848,0.0774,0.0074,9.56
仿妆cos,2026-09,46,0.1255,,,
健身,2026-07,22,0.0613,,,
健身,2026-08,43,0.0781,0.0613,0.0168,27.41
健身,2026-09,183,0.0853,0.0781,0.0072,9.22
出行,2026-07,22,0.0699,,,
出行,2026-08,82,0.0783,0.0699,0.0084,12.02
出行,2026-09,249,0.0867,0.0783,0.0084,10.73
动画综合,2026-09,47,0.0891,,,
单机游戏,2026-08,80,0.0430,,,
单机游戏,2026-09,313,0.0616,0.0430,0.0186,43.26
同人·手书,2026-09,25,0.1065,,,
喵星人,2026-09,33,0.0823,,,
娱乐杂谈,2026-09,22,0.0352,,,
小剧场,2026-09,28,0.0952,,,
小宠异宠,2026-09,40,0.0739,,,
影视剪辑,2026-09,49,0.0570,,,
影视杂谈,2026-09,31,0.0484,,,
手机游戏,2026-09,44,0.0581,,,
搞笑,2026-08,26,0.1101,,,
搞笑,2026-09,81,0.0593,0.1101,-0.0508,-46.14
数码,2026-07,22,0.0430,,,
数码,2026-08,79,0.0439,0.0430,0.0009,2.09
数码,2026-09,525,0.0549,0.0439,0.0110,25.06
日常,2026-01,42,0.0401,,,
日常,2026-02,45,0.0498,0.0401,0.0097,24.19
日常,2026-03,57,0.0638,0.0498,0.0140,28.11
日常,2026-04,54,0.0710,0.0638,0.0072,11.29
日常,2026-05,70,0.0637,0.0710,-0.0073,-10.28
日常,2026-06,73,0.0623,0.0637,-0.0014,-2.20
日常,2026-07,115,0.0670,0.0623,0.0047,7.54
日常,2026-08,296,0.0739,0.0670,0.0069,10.30
日常,2026-09,1361,0.0768,0.0739,0.0029,3.92
时尚潮流,2026-09,33,0.1146,,,
明星综合,2026-09,28,0.0657,,,
校园学习,2026-01,31,0.0645,,,
校园学习,2026-02,24,0.0881,0.0645,0.0236,36.59
校园学习,2026-03,45,0.0778,0.0881,-0.0103,-11.69
校园学习,2026-04,48,0.0727,0.0778,-0.0051,-6.56
校园学习,2026-05,38,0.0773,0.0727,0.0046,6.33
校园学习,2026-06,60,0.0754,0.0773,-0.0019,-2.46
校园学习,2026-07,91,0.0796,0.0754,0.0042,5.57
校园学习,2026-08,273,0.0838,0.0796,0.0042,5.28
校园学习,2026-09,1085,0.0760,0.0838,-0.0078,-9.31
汪星人,2026-09,93,0.0664,,,
汽车生活,2026-09,26,0.0579,,,
电子竞技,2026-09,24,0.0514,,,
短片,2026-09,21,0.0918,,,
社科·法律·心理,2026-07,20,0.1389,,,
社科·法律·心理,2026-08,42,0.1046,0.1389,-0.0343,-24.69
社科·法律·心理,2026-09,158,0.1034,0.1046,-0.0012,-1.15
科学科普,2026-09,89,0.0700,,,
穿搭,2026-08,25,0.0775,,,
穿搭,2026-09,217,0.0905,0.0775,0.0130,16.77
网络游戏,2026-09,64,0.0341,,,
美妆护肤,2026-08,26,0.1305,,,
美妆护肤,2026-09,279,0.0854,0.1305,-0.0451,-34.56
美食侦探,2026-08,40,0.0423,,,
美食侦探,2026-09,312,0.0519,0.0423,0.0096,22.70
美食制作,2026-09,24,0.0739,,,
美食测评,2026-09,46,0.0459,,,
美食记录,2026-09,119,0.0549,,,
职业职场,2026-01,23,0.0707,,,
职业职场,2026-03,43,0.0662,0.0707,-0.0045,-6.36
职业职场,2026-04,36,0.0961,0.0662,0.0299,45.17
职业职场,2026-05,39,0.0986,0.0961,0.0025,2.60
职业职场,2026-06,59,0.1011,0.0986,0.0025,2.54
职业职场,2026-07,96,0.1049,0.1011,0.0038,3.76
职业职场,2026-08,175,0.1030,0.1049,-0.0019,-1.81
职业职场,2026-09,407,0.0875,0.1030,-0.0155,-15.05
计算机技术,2026-01,32,0.0885,,,
计算机技术,2026-02,20,0.0828,0.0885,-0.0057,-6.44
计算机技术,2026-03,36,0.0929,0.0828,0.0101,12.20
计算机技术,2026-04,34,0.0945,0.0929,0.0016,1.72
计算机技术,2026-05,41,0.1138,0.0945,0.0193,20.42
计算机技术,2026-06,42,0.0959,0.1138,-0.0179,-15.73
计算机技术,2026-07,63,0.1355,0.0959,0.0396,41.29
计算机技术,2026-08,209,0.1229,0.1355,-0.0126,-9.30
计算机技术,2026-09,782,0.1201,0.1229,-0.0028,-2.28
设计·创意,2026-09,37,0.0979,,,
财经商业,2026-08,42,0.0689,,,
财经商业,2026-09,285,0.0600,0.0689,-0.0089,-12.92
软件应用,2026-08,29,0.0835,,,
软件应用,2026-09,83,0.0720,0.0835,-0.0115,-13.77
野生技能协会,2026-01,21,0.0917,,,
野生技能协会,2026-03,23,0.0784,0.0917,-0.0133,-14.50
野生技能协会,2026-04,29,0.0904,0.0784,0.0120,15.31
野生技能协会,2026-05,36,0.0899,0.0904,-0.0005,-0.55
野生技能协会,2026-06,31,0.0909,0.0899,0.0010,1.11
野生技能协会,2026-07,53,0.0984,0.0909,0.0075,8.25
野生技能协会,2026-08,108,0.1032,0.0984,0.0048,4.88
野生技能协会,2026-09,295,0.1183,0.1032,0.0151,14.63
