分区,视频数,样本占比_百分比,分区平均互动率,对整体互动率的贡献,整体互动率_加权
校园学习,3234,16.62,0.0749,1.2445,0.0766
计算机技术,2190,11.26,0.1044,1.1748,0.0766
日常,2625,13.49,0.0704,0.9492,0.0766
职业职场,2073,10.65,0.0854,0.9101,0.0766
野生技能协会,1178,6.05,0.0964,0.5836,0.0766
社科·法律·心理,449,2.31,0.0966,0.2230,0.0766
出行,528,2.71,0.0794,0.2155,0.0766
数码,771,3.96,0.0533,0.2114,0.0766
财经商业,600,3.08,0.0667,0.2056,0.0766
美妆护肤,433,2.23,0.0906,0.2017,0.0766
单机游戏,636,3.27,0.0507,0.1657,0.0766
人文历史,379,1.95,0.0774,0.1508,0.0766
健身,371,1.91,0.0785,0.1497,0.0766
穿搭,357,1.83,0.0776,0.1424,0.0766
美食侦探,557,2.86,0.0481,0.1378,0.0766
科学科普,246,1.26,0.0683,0.0864,0.0766
软件应用,221,1.14,0.0704,0.0799,0.0766
搞笑,212,1.09,0.0578,0.0630,0.0766
仿妆cos,91,0.47,0.1162,0.0543,0.0766
美食记录,167,0.86,0.0511,0.0438,0.0766
